Região;Local;Longitude;Latitude;Referência;;;;;;;;;;;;;;;;;
América do Sul;-;-;-; Heed W.B. (1963); Density and distribution of Dr ...;;;;;;;;;;;;;;;;
América do Sul;-;-;-; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;;;;;;;;;
América do Sul;-;-;-; Valente V.L. and de Araujo A.M. (1991); Ecological aspects of Drosophi ...;;;;;;;;;;;;;;;;
América do Sul;-;-;-; Vasquez E. J.A. (1976); Especies de Drosophila (Dip. ...;;;;;;;;;;;;;;;;
América do Sul;    tavares;-48,32;27,39; Schmitz H.J. et al. (2007); Taxonomic Survey of Drosophili ...;;;;;;;;;;;;;;;;
América do Norte;  pichilingue;-110,17;24,2; Heed W.B. (1963); Density and distribution of Dr ...; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ... ;;;;;;;;;;;;;;
América Central;quirigua; -90.00;15.00 ; Stalker H.D. (1953); Taxonomy and hybridization in ...;;;;;;;;;;;;;;;;
Ilhas do Caribe;    grenada/west;-61,4;12,07; Heed W.B. (1962); Genetic characteristics of isl ...; Heed W.B. (1963); Density and distribution of Dr ...;;;;;;;;;;;;;;
América do Sul;    chancay;-77,14;11,36; Vasquez E. J.A. (1976); Especies de Drosophila (Dip. ...;;;;;;;;;;;;;;;;
América do Sul;    santa marta/colombia;-74,1;11,18; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;;;;;;;;;
Ilhas do Caribe;arima;-61,17;10,58; Heed W.B. and Blake P.R. (1963); A new color allele at the e lo ...; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;;;;;;;
Ilhas do Caribe;    maraval/trinidad;-61,31;10,42; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...; Yoon J.S. (1984); Drosophila species stock list ...; Yoon J.S. (1990); Drosophila species stock list ...; Yoon Z. (1996); Stock List. National Drosophil ...;;;;;;;;;;
Ilhas do Caribe;    trinidad/west;-61,3;10,3; Brisson J.A. et al. (2006); Phylogenetic analysis of the c ...; Heed W.B. (1957); A preliminary note on the card ...; Heed W.B. (1963); Density and distribution of Dr ...; Napp M. and Cordeiro A.R. (1981); Interspecific relationships in ... ;;;;;;;;;;
Ilhas do Caribe;    tabaquite;-61,18;10,23; Heed W.B. (1963); Density and distribution of Dr ...; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;;;;;;;
América do Sul;    duaca;-69,08;10,22; Yoon J.S. (1984); Drosophila species stock list ...; Yoon J.S. (1990); Drosophila species stock list ...; Yoon Z. (1996); Stock List. National Drosophil ...;;;;;;;;;;;;
América do Sul;    rancho grande;-67,3;10,2; Cova Garcia P. and Suarez O.M. (1962); Especies del genero Drosophila ...;;;;;;;;;;;;;;;;
América do Sul;    venezuela;-65;10; Napp M. and Cordeiro A.R. (1981); Interspecific relationships in ... ;;;;;;;;;;;;;;;;
América Central;panama city; -79.30;9.00 ; Stalker H.D. (1953); Taxonomy and hybridization in ... ;;;;;;;;;;;;;;;;
América do Sul;    cucuta;-72,31;7,55; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;;;;;;;;;
América do Sul;    sierra nevada/colombia;-74;5; Heed W.B. (1963); Density and distribution of Dr ...;;;;;;;;;;;;;;;;
América do Sul;    el colegio;-74,27;4,35; Heed W.B. (1963); Density and distribution of Dr ...; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;;;;;;;
América do Sul;    fusagasuga;-74,21;4,22; Hunter A.S. and Navarro A. (1969); A Natural Population of Drosop ...;;;;;;;;;;;;;;;;
América do Sul;    girardot;-74,47;4,19; Heed W.B. (1963); Density and distribution of Dr ...;;;;;;;;;;;;;;;;
América do Sul;    villavicencio;-73,38;4,09; Heed W.B. and Blake P.R. (1963); A new color allele at the e lo ...; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;;;;;;;
América do Sul;    el recuerdo;-72,49;3,11; Futch D.G. (1962); Hybridization tests within the ...; Heed W.B. and Blake P.R. (1963); A new color allele at the e lo ...; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...; Napp M. and Cordeiro A.R. (1981); Interspecific relationships in ...; Takada H. (1963); Genitalia of F1-Hybrids within ...;;;;;;;;
América do Sul;    san lorenzo/colombia;-76,2;3; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;;;;;;;;;
