Região;Local;Longitude;Latitude;Referências;;;;;;;;;
América do Sul;    tavares;-48.32;27.39 ;Schmitz H.J. et al. (2007), Taxonomic Survey of Drosophili ... ;;;;;;;;;
América do Sul;    santa marta/colombia; -74.10 ;11.18;Hoenigsberg H.F. (1995), Drosophila baits in northern l ... ;;;;;;;;;
América do Sul;    caracas;-66.56;10.35;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ... ;;;;;;;;;
América do Sul;    duaca;-69.08;10.22;Oelshlegel F.J. and Brewer G.J. (1975), Interspecific variation of pho ... ;;;;;;;;;
América do Sul;    barquisimeto;-69.18;10.03;Hunter A.S. (1970), Drosophila of Venezuela. ... ;;;;;;;;;
América do Sul;    carpentaro; -70.00;10.00 ;Yoon J.S. (1984), Drosophila species stock list ... ;;;;;;;;;
América do Sul;    carpentaro; -70.00;10.00 ;Yoon Z. (1996), Stock List. National Drosophil ... ;;;;;;;;;
América do Sul;    carpentaro; -70.00;10.00 ;Yoon J.S. (1984);;;;;;;;;
América do Sul;    georgetown/guyana;-58.10;6.46;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ... ;;;;;;;;;
América do Sul;    bogota;-74.05;4.48;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ... ;;;;;;;;;
América do Sul;    bogota;-74.05;4.48;Hunter A.S. (1966), High-Altitude Drosophila of Co ... ;;;;;;;;;
América do Sul;    fusagasuga;-74.21;4.22;Hunter A.S. and Navarro A. (1969), A Natural Population of Drosop ... ;;;;;;;;;
América do Sul;    orellana;-76.05;0.53 ;Acurio A. and Rafael V. (2009), Diversity and geographical dis ... ;;;;;;;;;
América do Sul;    imbabura;-78.30;0.30 ;Acurio A. and Rafael V. (2009), Diversity and geographical dis ... ;;;;;;;;;
América do Sul;    guayllabamba;-78.22;0.03;Rafael V. and Arcos G. (1988), Drosophila guayllabambae n.sp. ... ;;;;;;;;;
América do Sul;    el quinche;-78.18;-0.07; Rafael V. et al. (2000), Ecologia y distribucion del ge ... ;;;;;;;;;
América do Sul;    ibarra;-78.10;-0.21 ;Rafael V. (2007), Drosophila malerkotliana y Zap ... ;;;;;;;;;
América do Sul;    ilha grande;-65.03;-0.28 ;Morais P.B. et al. (2005), Saturnispora hagleri sp. nov., ... ;;;;;;;;;
América do Sul;    parque nacional yasuni;-76.23;-0.39 ;Acurio A.E. and Rafael V.L. (2009), Inventario Taxonomico de Droso ... ;;;;;;;;;
América do Sul;cotopaxi;-78.28;-0.40;Acurio A. and Rafael V. (2009), Diversity and geographical dis ... ;;;;;;;;;
América do Sul;    pichincha; -75.21;-0.45;Acurio A. and Rafael V. (2009), Diversity and geographical dis ... ;;;;;;;;;
América do Sul;    montecristi; -80.39;-1.05;Rafael V. (2007), Drosophila malerkotliana y Zap ... ;;;;;;;;;
América do Sul;    montecristi;-80.39;-1.05 ;Rafael V. et al. (2000), El Genero Drosophila en tres p ... ;;;;;;;;;
América do Sul;    belem;-48.29;-1.27 ;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ... ;;;;;;;;;
América do Sul;    manabi; -80.30;-1.30;Acurio A. and Rafael V. (2009), Diversity and geographical dis ... ;;;;;;;;;
América do Sul;    manabi; -80.30;-1.30;Rafael V. and Vela D. (2000), Drosophila distribution in Ecu ... ;;;;;;;;;
América do Sul;    mangas;-80.00;-2.00;Rafael V. et al. (2000), El Genero Drosophila en tres p ... ;;;;;;;;;
América do Sul;    procel;-80.00;-2.00 ;Rafael V. et al. (2000), El Genero Drosophila en tres p ... ;;;;;;;;;
América do Sul;    ballenita;-80.52;-2.16 ;Rafael V. et al. (2000), El Genero Drosophila en tres p ... ;;;;;;;;;
América do Sul;    ballenita;-80.52;-2.16 ;Rafael V. et al. (2000);;;;;;;;;
América do Sul;    guayas;-80.17;-2.16 ;Acurio A. and Rafael V. (2009), Diversity and geographical dis ... ;;;;;;;;;
América do Sul;    guayas;-80.17;-2.16;Rafael V. and Vela D. (2000), Drosophila distribution in Ecu ... ;;;;;;;;;
América do Sul;    manaus;-60.00;-3.06 ;Martins M. (1987), Variacao espacial e temporal d ... ;;;;;;;;;
América do Sul;    el oro;-79.50;-3.27;Rafael V. and Vela D. (2000), Drosophila distribution in Ecu ... ;;;;;;;;;
América do Sul;    huaquillas; -80.00;-3.30 ;Rafael V. et al. (2000), El Genero Drosophila en tres p ... ;;;;;;;;;
América do Sul;    pinas;-80.00;-3.30;Rafael V. et al. (2000), El Genero Drosophila en tres p ... ;;;;;;;;;
América do Sul;    huaquillas; -80.00;-3.30 ;Rafael V. et al. (2000);;;;;;;;;
América do Sul;    loja; -79.16;-3.59 ;Acurio A. and Rafael V. (2009), Diversity and geographical dis ... ;;;;;;;;;
América do Sul;    loja;-79.16;-3.59;Rafael V. and Vela D. (2000), Drosophila distribution in Ecu ... ;;;;;;;;;
