Região;Local;Longitude;Latitude;Referência;;;;;;;;;
América do Sul;    tavares;-48.32;27.39;Schmitz H.J. et al. (2007), Taxonomic Survey of Drosophili ...;;;;;;;;;
América do Norte;    lake okeechobee/fl;-80,5;27,14; Stalker H.D. (1953);;;;;;;;;
América do Norte;cordoba/durango;-103,23;26,18; Heed W.B. and Russell J.S. (1971);;;;;;;;;
América do Norte;    valles/slp;-99;22; Heed W.B. and Russell J.S. (1971);;;;;;;;;
América do Norte;    valles/slp;-99;22; Yoon J.S. (1984);;;;;;;;;
América do Norte;    valles/slp;-99;22; Yoon J.S. (1990);;;;;;;;;
América do Norte;    valles/slp;-99;22; Yoon Z. (1996);;;;;;;;;
América do Norte;    tamazunchale/slp;-98,47;21,16; Heed W.B. and Russell J.S. (1971);;;;;;;;;
América do Norte;    tamazunchale/slp;-98,47;21,16; Yoon J.S. (1984);;;;;;;;;
América do Norte;    tamazunchale/slp;-98,47;21,16; Yoon J.S. (1990);;;;;;;;;
América do Norte;    tamazunchale/slp;-98,47;21,16; Yoon Z. (1996);;;;;;;;;
América do Norte;    mexico;-100;20; Brisson J.A. et al. (2006);;;;;;;;;
América do Norte;    mexico;-100;20; Napp M. and Cordeiro A.R. (1981);;;;;;;;;
América do Norte;    uruapan/mic;-102,04;19,26; Gallo A.J. and Salceda V.M. (1974);;;;;;;;;
América do Norte;    puebla/mexico;-98,1;19,03; Futch D.G. (1962);;;;;;;;;
América do Norte;    oaxaca city;-96,41;17,05; Heed W.B. and Russell J.S. (1971);;;;;;;;;
América do Norte;    tehuantepec/oxa;-95,13;16,21; Heed W.B. and Russell J.S. (1971);;;;;;;;;
América Central; el salvador; -88.55;14.45 ; Heed W.B. (1956);;;;;;;;;
América Central;el salvador; -88.55;14.45 ; Heed W.B. (1957);;;;;;;;;
América Central;el salvador; -88.55;14.45 ; Napp M. and Cordeiro A.R. (1981);;;;;;;;;
América Central;guatemala; -90.22;14.38 ; Streisinger G. (1946);;;;;;;;;
América Central;lago pichichuela; -89.00;14.00 ; Clayton F.E. and Wasserman M. (1957);;;;;;;;;
América Central;lago pichichuela; -89.00;14.00 ; Heed W.B. and Russell J.S. (1971);;;;;;;;;
América Central; lago pichichuela; -89.00;14.00 ; Throckmorton L.H. (1962);;;;;;;;;
América Central;pichichuela; -88.00;14.00 ; Yoon J.S. (1984);;;;;;;;;
América Central;pichichuela; -88.00;14.00 ; Yoon J.S. (1990);;;;;;;;;
América Central;pichichuela; -88.00;14.00 ; Yoon Z. (1996);;;;;;;;;
América do Sul;    santa marta/colombia; -74.10;11.18;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ...;;;;;;;;;
América do Sul;    santa marta/colombia; -74.10;11.18; Hoenigsberg H.F. (1995), Drosophila baits in northern l ...;;;;;;;;;
América do Sul;    santa marta/colombia; -74.10;11.18;Yoon J.S. (1984), Drosophila species stock list ...;;;;;;;;;
América do Sul;    santa marta/colombia; -74.10;11.18;Yoon J.S. (1990), Drosophila species stock list ...;;;;;;;;;
América Central;goofy lake; -80.00;11.00 ; Pipkin S.B. (1965);;;;;;;;;
Ilhas do Caribe;maraval/trinidad;-61,31;10,42; Heed W.B. and Russell J.S. (1971);;;;;;;;;
Ilhas do Caribe;    port of spain;-61,31;10,38; Futch D.G. (1962);;;;;;;;;
Ilhas do Caribe;    trinidad/west;-61,3;10,3; Heed W.B. (1957);;;;;;;;;
América do Sul;    tasajeras;-67.28;10.20;Cova Garcia P. and Suarez O.M. (1962), Especies del genero Drosophila ...;;;;;;;;;
América Central; la lola; -83.30;10.06 ; Heed W.B. and Russell J.S. (1971);;;;;;;;;
América Central;port limon/cr; -85.00;10.00 ; Stalker H.D. (1953);;;;;;;;;
América Central;palmar del norte; -84.08;10.00 ; Heed W.B. and Russell J.S. (1971);;;;;;;;;
América do Sul;    venezuela; -65.00;10.00;Napp M. and Cordeiro A.R. (1981), Interspecific relationships in ... ;;;;;;;;;
América Central;changuinola; -82.31;9.28 ; Yoon J.S. (1984);;;;;;;;;
América Central;fort sherman; -79.57;9.21 ; Pipkin S.B. (1965);;;;;;;;;
América Central;almirante; -82.22;9.20 ; Pipkin S.B. (1965);;;;;;;;;
América Central;frijoles; -79.48;9.11 ; Pipkin S.B. (1965);;;;;;;;;
América Central;barro colorado; -79.50;9.08 ; Heed W.B. and Russell J.S. (1971);;;;;;;;;
América Central;panama; -79.00;9.00 ; van der Linde K. (2005);;;;;;;;;
América Central;camaron; -79.34;8.59 ; Pipkin S.B. (1965);;;;;;;;;
América Central;ancon; -79.33;8.58 ; Heed W.B. and Russell J.S. (1971);;;;;;;;;
América Central;capira; -79.51;8.48 ; Pipkin S.B. (1965);;;;;;;;;
América Central;el volcan/panama; -82.40;8.45 ; Pipkin S.B. (1965);;;;;;;;;
América Central;el valle/panama; -80.08;8.36 ; Pipkin S.B. (1965);;;;;;;;;
América Central;cerro campana; -81.17;8.26 ; Pipkin S.B. (1965);;;;;;;;;
América Central;el real/panama; -77.42;8.06 ; Heed W.B. and Russell J.S. (1971);;;;;;;;;
América do Sul;    bucaramanga;-73.10;7.08 ;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ...;;;;;;;;;
América do Sul;    medellin;-75.36;6.15;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ...;;;;;;;;;
América do Sul;    rionegro;-74.00;5.00;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ...;;;;;;;;;
América do Sul;    bogota;-74.05;4.48;Hunter A.S. (1964), High altitude Drosophila of Co ...;;;;;;;;;
América do Sul;    fusagasuga;-74.21;4.22;Hunter A.S. and Navarro A. (1969), A Natural Population of Drosop ...;;;;;;;;;
América do Sul;    colombia; -75.00;4.00 ;Brisson J.A. et al. (2006), Phylogenetic analysis of the c ... ;;;;;;;;;
América do Sul;    palmira;-76.17;3.33;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ...;;;;;;;;;
América do Sul;    mucajai; -67.00;2.00 ;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    orellana;-76.05;0.53 ;Acurio A. and Rafael V. (2009), Diversity and geographical dis ...;;;;;;;;;
América do Sul;    uaupes;-67.05;-0.07 ;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    isla santa cruz; -90.23;-0.38;Carson H.L. et al. (1983), Drosophilidae of the Galapagos ...;;;;;;;;;
América do Sul;    parque nacional yasuni;-76.23;-0.39;Acurio A.E. and Rafael V.L. (2009), Inventario Taxonomico de Droso ...;;;;;;;;;
América do Sul;    isla isabela;-92.00;-0.40;Carson H.L. et al. (1983), Drosophilidae of the Galapagos ...;;;;;;;;;
América do Sul;    cotopaxi;-78.28;-0.40;Acurio A. and Rafael V. (2009), Diversity and geographical dis ...;;;;;;;;;
América do Sul;    galapagos;-90.05;-0.50 ;Acurio A. and Rafael V. (2009), Diversity and geographical dis ...;;;;;;;;;
América do Sul;    isla cristobal;-91.27;-0.55;Carson H.L. et al. (1983), Drosophilidae of the Galapagos ...;;;;;;;;;
América do Sul;    belem;-48.29;-1.27; Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ...;;;;;;;;;
América do Sul;    fordlandia;-55.30;-3.40;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;"    ponta do caximbo;";-53.15;-4.20;Napp M. and Cordeiro A.R. (1978), Genetic variability and disequ ...;;;;;;;;;
América do Sul;    porto alegre;-53.15;-4.20;Brncic D. and Valente V.L.S. (1978), Dinamica das comunidades de Dr ...;;;;;;;;;
América do Sul;    canto da lagoa;-36.50;-5.04;De Toni D.C. et al. (2001), First record of Zaprionus indi ...;;;;;;;;;
América do Sul;    imperatriz;-47.28;-5.32;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    barra do maxaranguape; -35.26;-5.32 ;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    bom jesus/rn;-35.37;-5.58;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    sao jose de espinharas; -36.00;-6.56;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    junco do serido/pb;-36.43;-7.00 ;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    carolina/brazil; -47.28;-7.20;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;carolina/ma;-47.25;-7.20 ;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ...;;;;;;;;;
América do Sul;    cruzeiro do sul;-72.39;-7.40 ;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    porto velho; -63.54;-8.45;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    peru;-75.00;-10.00;Pilares G.L. and Suyo M.P. (1982), Distribution of different spec ...;;;;;;;;;
