Região;Local;Longitude;Latitude;Referência;;;;;;;;;
América do Sul;;;; SMNS Collection (1988); Staatliches Museum fur Naturku ... ;;;;;;;;
Austrália;;;; Hoffmann A.A. et al. (1990); Factors Affecting the Distribu ... ;;;;;;;;
Africa;;;; Capy P. et al. (1988); Thoracic trident pigmentation ... ;;;;;;;;
Africa;;;; Capy P. et al. (1990); Active mariner transposable el ... ;;;;;;;;
América Central;;;; Sturtevant A.H. (1921); Genetic studies on Drosophila ... ;;;;;;;;
Asia;;;; Coyne J.A. (1985); Genetic studies of three sibli ... ;;;;;;;;
Asia;     mohe;122,19;53,26; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     heihe;127,25;50,16; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     hailaer;120;49; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     jiamusi;130,29;46,59; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     haerbin;126,5;45,47; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     charbin;126,41;45,45; SMNS Collection (1988); Staatliches Museum fur Naturku ... ;;;;;;;;
Asia;     wakkanai;141,43;45,26; Watabe H.-a. (1990); Geographic Distribution and Ha ... ;;;;;;;;
Asia;     oniwaki;141,1;45,1; Watabe H.-a. (1990); Geographic Distribution and Ha ... ; Kobayashi K. and Watabe H. (1985); Drosophilid fauna of Rishiri I ... ; Kobayashi K. et al. (1995); The Drosophilid Fly of Rishiri ... ; Watabe H.-a. and Kobayashi K. (1987); The Drosophilid Fly of the Ris ... ;;
Asia;     changchun;126,45;43,54; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     tonebetsu;141,2;43,15; Sawashiro T. and Watabe H.-a. (1999); Drosophilid fauna of the Toneb ... ;;;;;;;;
Asia;     sapporo;141,21;43,05; Kamimura Y. (2007); Twin intromittent organs of Dr ... ; Kojima K. and Kimura M.T. (2003); Life history adaptations and s ... ; Watabe H.-a. (1979); Drosophila Survey of Hokkaido; Watabe H.-a. (1984); Microdistribution and Phenolog ... ; Watabe H.-a. (1984); Niche Breadth and Seasonal Cha ... 
Asia;     hokkaido;141,2;43; Beppu K. et al. (1977); Methods in the studies of wild ... ;;;;;;;;
Asia;     kushiro;144,24;42,58; Watabe H.-a. (1990); Geographic Distribution and Ha ... ;;;;;;;;
Asia;     tumen;129,47;42,56; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     yanji;129,32;42,52; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     ashoro;143,1;42,02; Watabe H.-a. (1990); Geographic Distribution and Ha ... ;;;;;;;;
Asia;     huhehaote;117;42; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     shenyang;123,26;41,5; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     hakodate;140,44;41,46; Watabe H.-a. (1990); Geographic Distribution and Ha ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;
Asia;     inakadate;141;40,3; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Asia;     fukuoka;141,2;40,16; Inoue Y. (1988); Chromosomal mutation in Drosop ... ; Kawanishi M. and Watanabe T.K. (1980); Genetic variations of courtshi ... ; Lee W.H. (1978); Temperature sensitive viabilit ... ; Watanabe T.K. et al. (1977); Genetic variation of the hybri ... ;;
Asia;     dandong;124,24;40,08; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     masaki;140;40; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ... ; Baba-Aissa F. et al. (1988); Mitochondrial DNA variability ... ; Ballard J.W.O. (2004); Sequential Evolution of a Symb ... ; Hatsumi M. and Kitagawa O. (1977); The crossability between D. me ... ; Komai T. (1937); Collection of D. simulans from ... 
Asia;     beijing;116,24;39,54; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     akita;140,05;39,44; Watada M. et al. (1986); Genetic differentiation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;
Asia;     miyako;141,59;39,38; Watada M. and Itoh M. (1999); Distribution of Drosophila in ... ;;;;;;;;
Asia;     ohazama;141,17;39,3; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Asia;     morioka;141,1;39,15; Toda M.J. (1984); Guild structure and its compar ... ;;;;;;;;
Asia;     tianjing;117,12;39,08; Jin S. et al. (2005); Identification of one intron l ... ;;;;;;;;
Asia;     mugi;134,23;38,38; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     yinchun;107,3;38,35; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     higashine;140,23;38,26; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Asia;     yamagata;140,19;38,16; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;
Asia;     akayu;140,11;38,05; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     shijiazhuang;114,28;38,04; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     niigata;139,02;37,58; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     taiyuan;112,3;37,5; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     yantai;121,22;37,3; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     kwangnung;127;37,3; Kang Y.S. et al. (1959); Studies on the Classification ... ;;;;;;;;
Asia;     koriyama;140,22;37,23; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Africa;     bizerte;9,52;37,18; Capy P. et al. (1993); Phenotypic and genetic variabi ... ; Pfriem P. and Sperlich D. (1982); Wild O chromosomes of Drosophi ... ;;;;;;
Asia;     tajima;139,46;37,11; Ballard J.W.O. (2004); Sequential Evolution of a Symb ... ;;;;;;;;
Asia;     naoetsu;138,15;37,1; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ...; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;
Asia;     sori;127;37; Lee T.J. (1966); A List of Drosophilid Fauna in ... ; Lee T.J. (1966); A List of Drosophilid Fauna in ... ;;;;;;
Asia;     busan;128;37; Lee W.H. and Yoo M.A. (1981); Experimental Study of Interspe ... ;;;;;;;;
Asia;     south korea;132;37; Lee T.J. (1964); Taxonomy; Lee T.J. and Kim N.W. (1987); Systematic study of the Drosop ... ;;;;;;
Asia;     obuse;138;37; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Africa;     tabarka;8,45;36,55; Jungen H. (1971); Inversionspolymorphismus in tu ... ;;;;;;;;
Africa;     alger;3;36,5; Ashburner M. and Leumeunier F. (1976); Relationships within the melan ... ;;;;;;;;
Africa;     belvedere;10,13;36,5; Jungen H. (1971); Inversionspolymorphismus in tu ... ;;;;;;;;
Africa;     orangerie;10,1;36,48; Jungen H. (1971); Inversionspolymorphismus in tu ... ;;;;;;;;
Africa;     tizi-ouzou;4,05;36,44; Capy P. et al. (1993); Phenotypic and genetic variabi ... ;;;;;;;;
Asia;     shiliguri;88,3;36,42; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     toyama;137,14;36,42; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Africa;     djebel bou kournine;10,2;36,4; Jungen H. (1971); Inversionspolymorphismus in tu ... ;;;;;;;;
Asia;     shiga heights;138,3;36,4; Beppu K. (1996); Domestic Drosophilid Fauna in ... ; Beppu K. (2001); Drosophilid Flies (Drosophilid ... ;;;;;;
Asia;     mount shirane;139;36,4; Beppu K. (1998); Drosophilid Fauna near the For ... ;;;;;;;;
Asia;     nagano;138,1;36,39; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;;;
Asia;     utsunomiya;139,52;36,33; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;
Africa;     blida;2,5;36,3; Bachli G. (1988); Die Drosophiliden-Arten (Dipte ... ; NMW Collection (1985); Naturhistorisches Museum Wien ... ;;;;;;
Asia;     suzaki;138;36,3; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     kokufu;140;36,3; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     ueda;138,13;36,27; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     maebashi;139,04;36,24; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;
Asia;     tochigi;139,46;36,23; Inoue Y. (1988); Chromosomal mutation in Drosop ... ; Inoue Y. et al. (1990); Natural and laboratory hybridi ... ;;;;;;
Asia;     ohirashita;140;36,21; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     xinin;101,53;36,2; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     tsuchiura;140,11;36,05; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;;;
Asia;     fukui;136,12;36,04; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Asia;     lanzhou;103,45;36,01; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     kikonai;138;36; Watabe H.-a. (1990); Geographic Distribution and Ha ... ;;;;;;;;
Asia;     saitama;139;36; Inoue Y. et al. (1990); Natural and laboratory hybridi ... ;;;;;;;;
Asia;     japan;140;36; Montchamp-Moreau C. et al. (1991); Geographic Distribution and In ... ; Okada T. (1976); The Drosophilid Species recent ... ; Baba-Aissa F. and Solignac M. (1984); La plupart des populations de ... ;;;;
Asia;     kawagoe;139,3;35,55; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     omiya;139,39;35,54; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ... ; Watada M. et al. (1986); Genetic differenciation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;
Africa;     tanger;-5,5;35,48; ZMZ Collection (1985); Zoologisches Museum Universita ... ;;;;;;;;
Asia;     sayama;139,24;35,47; Mitsui H. (1993); Flies at various Environments ... ;;;;;;;;
Africa;     monastir;10,59;35,46; Rouault J. and David J.R. (1982); Evolutionary biology of Drosop ... ;;;;;;;;
Asia;     nirasaki;138,27;35,45; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. et al. (1984); Adaptation of Drosophila simul ... ;;;;;;
Africa;     kairouan;10,01;35,42; Bouletreau M. et al. (1991); Parasitoids affect competitive ... ;;;;;;;;
Asia;     kofu;138,34;35,42; Carracedo M.C. et al. (1987); Sexual isolation between Droso ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1979); Increasing Frequency of Drosop ... ; Watanabe T.K. et al. (1984); Adaptation of Drosophila simul ... ;;
Asia;     teheran;51,26;35,4; Baba-Aissa F. et al. (1988); Mitochondrial DNA variability ... ;;;;;;;;
Asia;     katsunuma;138,37;35,4; Itoh M. et al. (2003); A further study on the expansi ... ; Watada M. et al. (1986); Genetic differentiation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ; Watanabe T.K. and Kawanishi M. (1979); Increasing Frequency of Drosop ... 
Asia;     yamanaka-ko;138,5;35,4; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;;;
Asia;     kokubunji;139,3;35,4; Watada M. et al. (1986); Genetic differenciation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;
Asia;     miyakejima;139,4;35,4; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     akasaka;139,45;35,4; Asada N. et al. (1987); Notes on Drosophilid Flies Col ... ; Itoh M. et al. (2003); A further study on the expansi ... ; Watada M. et al. (1986); Genetic differenciation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Beppu K. (2000); Faunal and Ecological Surveys ... 
Asia;     chiba;140,07;35,39; Ballard J.W.O. (2004); Sequential Evolution of a Symb ... ;;;;;;;;
Asia;     otsuki;138,53;35,38; Oguma Y. et al. (1995); P element-induced mutations in ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ; Watanabe T.K. and Kawanishi M. (1979); Increasing Frequency of Drosop ... ; Watanabe T.K. et al. (1984); Adaptation of Drosophila simul ... 
Asia;     kajikazawa;138,28;35,35; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1979); Increasing Frequency of Drosop ... ; Watanabe T.K. et al. (1984); Adaptation of Drosophila simul ... ;;;;
Asia;     tottori;134,12;35,32; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Asia;     milyang;128,45;35,3; Lee W.H. (1980); A Study on the Hybridization i ... ; Lee W.H. and Yoo M.A. (1981); Experimental Study of Interspe ... ;;;;;;
Asia;     fujiyoshida;138,48;35,3; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1979); Increasing Frequency of Drosop ... ; Watanabe T.K. et al. (1984); Adaptation of Drosophila simul ... ;;;;
Asia;     susono;139;35,3; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ; Watanabe T.K. and Kawanishi M. (1979); Increasing Frequency of Drosop ... ; Watanabe T.K. et al. (1984); Adaptation of Drosophila simul ... 
Asia;     minogamo;137,01;35,29; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Asia;     yokohama;139,38;35,28; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;;;
Asia;     gifu;136,46;35,27; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     taisha;132,4;35,26; Asada N. et al. (1987); Notes on Drosophilid Flies Col ... ;;;;;;;;
Asia;     mobara;140,2;35,26; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     minobu;138,2;35,2; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1979); Increasing Frequency of Drosop ... ; Watanabe T.K. et al. (1984); Adaptation of Drosophila simul ... ;;;;
Asia;     gotenba;138,58;35,2; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ; Watanabe T.K. and Kawanishi M. (1979); Increasing Frequency of Drosop ... ; Watanabe T.K. et al. (1984); Adaptation of Drosophila simul ... 
Asia;     oiso;139,2;35,19; Liang B.-L. and Fuyama Y. (2000); Can D. simulans breed on Morin ... ; Watada M. et al. (1986); Genetic differenciation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Yamamoto A.H. (1992); Niche differentiation of droso ... ; Yamamoto A. and Ohba S. (1984); Temperature Preferences of Ele ... 
Asia;     fujinomia;138,33;35,16; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ... ; Kawanishi M. and Watanabe T.K. (1980); Genetic variations of courtshi ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... 
Asia;     odawara;139,08;35,15; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ... ;;;;;;;;
Africa;     larache;-6,1;35,12; Nigro L. (1988); Natural populations of Drosoph ... ;;;;;;;;
Asia;     kimhae;128,57;35,1; Lee W.H. (1980); A Study on the Hybridization i ... ; Lee W.H. and Yoo M.A. (1981); Experimental Study of Interspe ... ; Lee T.J. et al. (1994); Genetic relationships and prot ... ;;;;
Asia;     kiyosumi;140,1;35,1; Toda M.J. (1984); Guild structure and its compar ... ;;;;;;;;
Asia;     nagoya;136,53;35,08; Watada M. et al. (1986); Genetic differenciation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;
Asia;     mishima;138,54;35,08; Itoh M. et al. (1999); Structural and genetic studies ... ; Itoh M. et al. (2003); A further study on the expansi ... ; Kawanishi M. (1978); An ecological note on Drosophi ... ; Kawanishi M. and Lee W.H. (1978); Food preferences of Drosophila ... ; Kawanishi M. and Watanabe T.K. (1977); Ecological factors controlling ... 
Asia;     atami;139,04;35,07; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ... ;;;;;;;;
Africa;     hassi babah;3,02;35,04; Bachli G. (1988); Die Drosophiliden-Arten (Dipte ... ; NMW Collection (1985); Naturhistorisches Museum Wien ... ;;;;;;
Asia;     kyoto;135,45;35,02; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Africa;     nasr'allah;10;35; Baba-Aissa F. and Solignac M. (1984); La plupart des populations de ... ; Bouletreau M. et al. (1984); Differential sensitivity of Dr ... ; Capy P. and Rouault J. (1986); Sampling on decaying fruit of ... ; Capy P. et al. (1988); Thoracic trident pigmentation ... ; Carton Y. et al. (1987); Egg-laying strategy under natu ... 
Asia;     minoo;132;35; Uenoyama T. and Inoue Y. (1995); Genetic studies on premating i ... ;;;;;;;;
Asia;     tozugawa;135;35; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Asia;     aito;136;35; Itoh M. et al. (2003); A further study on the expansi ... ; Biemont C. et al. (2003); Worldwide distribution of tran ... ; Kopp A. et al. (2006); Historical biogeography of Dro ... ; Nardon C. et al. (2005); Is genome size influenced by c ... ; Vieira C. and Biemont C. (1996); Geographical Variation in Inse ... 
Asia;     kariya;137;35; Toda M.J. (1979); A Preliminary Note on Winter D ... ;;;;;;;;
Asia;     atagawa;138;35; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ... ;;;;;;;;
Asia;     shuzenji;138,55;35; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ... ;;;;;;;;
Asia;     nirayama;139;35; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ... ; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ... ;;;;;;
Asia;     shizuoka;138,24;34,59; Inoue Y. (1988); Chromosomal mutation in Drosop ... ; Inoue Y. et al. (1990); Natural and laboratory hybridi ... ;;;;;;
Asia;     okazaki;137,1;34,58; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     ito;139,04;34,58; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ... ;;;;;;;;
Asia;     ugusu;138,5;34,55; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ... ;;;;;;;;
Asia;     hirakata;135,48;34,52; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;;;
Asia;     yugashima;139;34,52; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ... ;;;;;;;;
Asia;     himeji;134,4;34,5; Mikasa K. (1990); A statistical analysis of seas ... ; Mikasa K. (1991); Statistical Analysis of Season ... ;;;;;;
Asia;     hibarigaoka;135,24;34,5; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     toi;138,45;34,5; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ... ;;;;;;;;
Asia;     otago;138,5;34,5; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ... ;;;;;;;;
Africa;     ain draham;8,4;34,48; Jungen H. (1971); Inversionspolymorphismus in tu ... ;;;;;;;;
Asia;     ikeda;135,23;34,48; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     inatori;139,02;34,46; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ...;;;;;;;;
Asia;     zhengzhou;113,38;34,45; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     shukugawa;135;34,44; Watada M. et al. (1986); Genetic differenciation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;
Asia;     nishinomiya;135,22;34,44; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Asia;     matsuzaki;138,45;34,44; Watanabe T.K. and Kawanishi M. (1976); Colonization of Drosophila sim ... ;;;;;;;;
Asia;     hamamatsu;137,42;34,42; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;;;
Asia;     nara;135,49;34,41; Morimoto K. and Sakamoto Y. (1995); Annual Changes in Drosophila i ... ;;;;;;;;
Asia;     tsu;136,3;34,41; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;;;
Asia;     okayama;133,54;34,4; Asada N. et al. (1987); Notes on Drosophilid Flies Col ... ; Watada M. et al. (1986); Genetic differenciation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;
Asia;     kobe;135,12;34,4; Itoh M. et al. (2003); A further study on the expansi ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;
