Região;Local;Longitude;Latitude;Referência;;;;;;;;;
América do Sul;;;; Cordeiro A.R. et al. (1958); Effects in homozygous conditio ...;;;;;;;;
América do Sul;;;; Dobzhansky T. et al. (1952); A comparative study of mutatio ...;;;;;;;;
América do Sul;;;; Malogolowkin C. et al. (1959); Experimental transfer of mater ...;;;;;;;;
América do Sul;;;; Spieth H.T. (1952); Mating behavior within the gen ...;;;;;;;;
América do Sul;;;; Tabachnik W.J. and Powell J.R. (1977);" Adaptive flexibility of ""margi ...";;;;;;;;
América do Sul;;;; Tondo C.V. et al. (1959); Biophysical genetics. III. Spe ...;;;;;;;;
América do Sul;;;; Valente V.L. and de Araujo A.M. (1991); Ecological aspects of Drosophi ...;;;;;;;;
América do Sul;;;; Zouros E. (1979); Mutation rates population siz ...;;;;;;;;
América do Sul;;;; Acurio A.E. and Rafael V.L. (2009); Inventario Taxonomico de Droso ...;;;;;;;;
América do Sul;;;; Rafael V. and Vela D. (2000); Drosophila distribution in Ecu ...;;;;;;;;
América do Sul;;;; de Toledo Cardoso de Mello J. (1971); Estudo da esterilidade entre d ...;;;;;;;;
América do Sul;;;; Dobzhansky T. (1965);" Wild"" and ""Domestic"" Species o ...";;;;;;;;
América do Sul;;;; Perez-Salas S. (1970); Consideraciones geneticas sobr ...;;;;;;;;
América do Sul;;;; Richmond R.C. and Dobzhansky T. (1976); Genetic differentiation within ...;;;;;;;;
América do Sul;    tavares;-48,32;27,39; Schmitz H.J. et al. (2007); Taxonomic Survey of Drosophili ...;;;;;;;;
América do Sul;    puerto lopez/colombia;-71,17;11,58; Ayala F.J. et al. (1971); Polymorphisms in Continental a ...;;;;;;;;
América do Sul;    santa marta/colombia;-74,1;11,18; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    santa marta/colombia;-74,1;11,18; Corneo G. et al. (1980); Satellite DNA sequences and re ...;;;;;;;;
América do Sul;    santa marta/colombia;-74,1;11,18; Ehrman L. and Petit C. (1968); Genotype frequency and mating ...;;;;;;;;
América do Sul;    santa marta/colombia;-74,1;11,18; Griffith E.C. and Powell J.R. (1997); Adh Nucleotide Variation in Dr ...;;;;;;;;
América do Sul;    santa marta/colombia;-74,1;11,18; Hoenigsberg H.F. (1995); Collecting Drosophila species ...;;;;;;;;
América do Sul;    santa marta/colombia;-74,1;11,18; Hoenigsberg H.F. (1995); Drosophila baits in northern l ...;;;;;;;;
América do Sul;    santa marta/colombia;-74,1;11,18; Perez-Salas S. (1970); Consideraciones geneticas sobr ...;;;;;;;;
América do Sul;    santa marta/colombia;-74,1;11,18; Petit C. and Ehrman L. (1968); Le role de la selection sexuel ...;;;;;;;;
América do Sul;    santa marta/colombia;-74,1;11,18; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    piojo;-75;11; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    piojo;-75;11; Ehrman L. and Petit C. (1968); Genotype frequency and mating ...;;;;;;;;
América do Sul;    piojo;-75;11; Petit C. and Ehrman L. (1968); Le role de la selection sexuel ... ;;;;;;;;
América do Sul;piojo;-75;11; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    rio catatumbo;-72;11; Ayala F.J. et al. (1974); Genetic variation in natural p ...;;;;;;;;
América do Sul;    caracas;-66,56;10,35; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    rancho grande;-67,3;10,2; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    rancho grande;-67,3;10,2; Perez-Salas S. (1970); Consideraciones geneticas sobr ...;;;;;;;;
América do Sul;    rancho grande;-67,3;10,2; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    cumanacoa;-63,58;10,17; Ayala F.J. (1970); Competition Coexistence and ...;;;;;;;;
América do Sul;    cumanacoa;-63,58;10,17; Perez-Salas S. (1970); Consideraciones geneticas sobr ...;;;;;;;;
América do Sul;    caripe;-63,3;10,13; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    caripe;-63,3;10,13; da Cunha A.B. et al. (1959); Genetics of natural population ... ;;;;;;;;
América do Sul;caripe;-63,3;10,13; Malogolowkin-Cohen C. et al. (1964); Inbreeding and the mutational ...;;;;;;;;
América do Sul;    caripe;-63,3;10,13; Perez-Salas S. (1970); Consideraciones geneticas sobr ...;;;;;;;;
América do Sul;    caripe;-63,3;10,13; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    caripito;-63,07;10,07; Ayala F.J. et al. (1974); Genetic variation in natural p ...;;;;;;;;
América do Sul;    guri;-69,17;10,05; Ayala F.J. et al. (1974); Genetic variation in natural p ...;;;;;;;;
América do Sul;    barquisimeto;-69,18;10,03; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    guatopo;-66,28;10,01; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    perija;-73;10; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    marrero;-70;10; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    vigia;-70;10; Spassky B. et al. (1971); Geography of the sibling speci ... ;;;;;;;;
América do Sul;    sarare;-69,2;10; Ayala F.J. (1970); Competition Coexistence and ...;;;;;;;;
América do Sul;    sarare;-69,2;10; Perez-Salas S. (1970); Consideraciones geneticas sobr ...;;;;;;;;
América do Sul;    sarare;-69,2;10; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    tuy;-66;10; Ayala F.J. (1970); Competition Coexistence and ...;;;;;;;;
