,species,region,site,longitude,latitude,ref
0,cardini,South America,tavares,-48.32,27.39,Schmitz H.J. et al. (2007)
1,cardini,South America,santa marta/colombia,-74.1,11.18,Hoenigsberg H.F. (1995)
2,cardini,South America,caracas,-66.56,10.35,Heed W.B. and Russell J.S. (1971)
3,cardini,South America,duaca,-69.08,10.22,Oelshlegel F.J. and Brewer G.J. (1975)
4,cardini,South America,barquisimeto,-69.18,10.03,Hunter A.S. (1970)
5,cardini,South America,carpentaro,-70.0,10.0,Yoon J.S. (1984)
6,cardini,South America,carpentaro,-70.0,10.0,Yoon Z. (1996)
7,cardini,South America,carpentaro,-70.0,10.0,Yoon J.S. (1984)
8,cardini,South America,georgetown/guyana,-58.1,6.46,Heed W.B. and Russell J.S. (1971)
9,cardini,South America,bogota,-74.05,4.48,Heed W.B. and Russell J.S. (1971)
10,cardini,South America,bogota,-74.05,4.48,Hunter A.S. (1966)
11,cardini,South America,fusagasuga,-74.21,4.22,Hunter A.S. and Navarro A. (1969)
12,cardini,South America,orellana,-76.05,0.53,Acurio A. and Rafael V. (2009)
13,cardini,South America,imbabura,-78.3,0.3,Acurio A. and Rafael V. (2009)
14,cardini,South America,guayllabamba,-78.22,0.03,Rafael V. and Arcos G. (1988)
15,cardini,South America,el quinche,-78.18,-0.07, Rafael V. et al. (2000)
16,cardini,South America,ibarra,-78.1,-0.21,Rafael V. (2007)
17,cardini,South America,ilha grande,-65.03,-0.28,Morais P.B. et al. (2005)
18,cardini,South America,parque nacional yasuni,-76.23,-0.39,Acurio A.E. and Rafael V.L. (2009)
19,cardini,South America,cotopaxi,-78.28,-0.4,Acurio A. and Rafael V. (2009)
20,cardini,South America,pichincha,-75.21,-0.45,Acurio A. and Rafael V. (2009)
21,cardini,South America,montecristi,-80.39,-1.05,Rafael V. (2007)
22,cardini,South America,montecristi,-80.39,-1.05,Rafael V. et al. (2000)
23,cardini,South America,belem,-48.29,-1.27,Heed W.B. and Russell J.S. (1971)
24,cardini,South America,manabi,-80.3,-1.3,Acurio A. and Rafael V. (2009)
25,cardini,South America,manabi,-80.3,-1.3,Rafael V. and Vela D. (2000)
26,cardini,South America,mangas,-80.0,-2.0,Rafael V. et al. (2000)
27,cardini,South America,procel,-80.0,-2.0,Rafael V. et al. (2000)
28,cardini,South America,ballenita,-80.52,-2.16,Rafael V. et al. (2000)
29,cardini,South America,ballenita,-80.52,-2.16,Rafael V. et al. (2000)
30,cardini,South America,guayas,-80.17,-2.16,Acurio A. and Rafael V. (2009)
31,cardini,South America,guayas,-80.17,-2.16,Rafael V. and Vela D. (2000)
32,cardini,South America,manaus,-60.0,-3.06,Martins M. (1987)
