species,region,site,longitude,latitude,ref
cardinoides,South America,tavares,-48.32,27.39,Schmitz H.J. et al. (2007)
cardinoides,North America,lake okeechobee/fl,-80.5,27.14, Stalker H.D. (1953)
cardinoides,North America,cordoba/durango,-103.23,26.18, Heed W.B. and Russell J.S. (1971)
cardinoides,North America,valles/slp,-99,22, Heed W.B. and Russell J.S. (1971)
cardinoides,North America,valles/slp,-99,22, Yoon J.S. (1984)
cardinoides,North America,valles/slp,-99,22, Yoon J.S. (1990)
cardinoides,North America,valles/slp,-99,22, Yoon Z. (1996)
cardinoides,North America,tamazunchale/slp,-98.47,21.16, Heed W.B. and Russell J.S. (1971)
cardinoides,North America,tamazunchale/slp,-98.47,21.16, Yoon J.S. (1984)
cardinoides,North America,tamazunchale/slp,-98.47,21.16, Yoon J.S. (1990)
cardinoides,North America,tamazunchale/slp,-98.47,21.16, Yoon Z. (1996)
cardinoides,North America,mexico,-100,20, Brisson J.A. et al. (2006)
cardinoides,North America,mexico,-100,20, Napp M. and Cordeiro A.R. (1981)
cardinoides,North America,uruapan/mic,-102.04,19.26, Gallo A.J. and Salceda V.M. (1974)
cardinoides,North America,puebla/mexico,-98.1,19.03, Futch D.G. (1962)
cardinoides,North America,oaxaca city,-96.41,17.05, Heed W.B. and Russell J.S. (1971)
cardinoides,North America,tehuantepec/oxa,-95.13,16.21, Heed W.B. and Russell J.S. (1971)
cardinoides,Central America,el salvador, -88.55,14.45 , Heed W.B. (1956)
cardinoides,Central America,el salvador, -88.55,14.45 , Heed W.B. (1957)
cardinoides,Central America,el salvador, -88.55,14.45 , Napp M. and Cordeiro A.R. (1981)
cardinoides,Central America,guatemala, -90.22,14.38 , Streisinger G. (1946)
cardinoides,Central America,lago pichichuela, -89.00,14.00 , Clayton F.E. and Wasserman M. (1957)
cardinoides,Central America,lago pichichuela, -89.00,14.00 , Heed W.B. and Russell J.S. (1971)
cardinoides,Central America,lago pichichuela, -89.00,14.00 , Throckmorton L.H. (1962)
cardinoides,Central America,pichichuela, -88.00,14.00 , Yoon J.S. (1984)
cardinoides,Central America,pichichuela, -88.00,14.00 , Yoon J.S. (1990)
cardinoides,Central America,pichichuela, -88.00,14.00 , Yoon Z. (1996)
cardinoides,South America,santa marta/colombia, -74.10,11.18,Heed W.B. and Russell J.S. (1971)
cardinoides,South America,santa marta/colombia, -74.10,11.18, Hoenigsberg H.F. (1995)
cardinoides,South America,santa marta/colombia, -74.10,11.18,Yoon J.S. (1984)
cardinoides,South America,santa marta/colombia, -74.10,11.18,Yoon J.S. (1990)
cardinoides,Central America,goofy lake, -80.00,11.00 , Pipkin S.B. (1965)
cardinoides,Caribbean,maraval/trinidad,-61.31,10.42, Heed W.B. and Russell J.S. (1971)
cardinoides,Caribbean,port of spain,-61.31,10.38, Futch D.G. (1962)
cardinoides,Caribbean,trinidad/west,-61.3,10.3, Heed W.B. (1957)
cardinoides,South America,tasajeras,-67.28,10.20,Cova Garcia P. and Suarez O.M. (1962)
cardinoides,Central America,la lola, -83.30,10.06 , Heed W.B. and Russell J.S. (1971)
cardinoides,Central America,port limon/cr, -85.00,10.00 , Stalker H.D. (1953)
cardinoides,Central America,palmar del norte, -84.08,10.00 , Heed W.B. and Russell J.S. (1971)
cardinoides,South America,venezuela, -65.00,10.00,Napp M. and Cordeiro A.R. (1981)
cardinoides,Central America,changuinola, -82.31,9.28 , Yoon J.S. (1984)
cardinoides,Central America,fort sherman, -79.57,9.21 , Pipkin S.B. (1965)
cardinoides,Central America,almirante, -82.22,9.20 , Pipkin S.B. (1965)
cardinoides,Central America,frijoles, -79.48,9.11 , Pipkin S.B. (1965)
cardinoides,Central America,barro colorado, -79.50,9.08 , Heed W.B. and Russell J.S. (1971)
cardinoides,Central America,panama, -79.00,9.00 , van der Linde K. (2005)
cardinoides,Central America,camaron, -79.34,8.59 , Pipkin S.B. (1965)
cardinoides,Central America,ancon, -79.33,8.58 , Heed W.B. and Russell J.S. (1971)
cardinoides,Central America,capira, -79.51,8.48 , Pipkin S.B. (1965)
cardinoides,Central America,el volcan/panama, -82.40,8.45 , Pipkin S.B. (1965)
cardinoides,Central America,el valle/panama, -80.08,8.36 , Pipkin S.B. (1965)
cardinoides,Central America,cerro campana, -81.17,8.26 , Pipkin S.B. (1965)
