species,region,site,longitude,latitude,ref
neocardini,South America,,,, Heed W.B. and Russell J.S. (1971)
neocardini,North America,,,, Spieth H.T. (1952)
neocardini,North America,,,, Wheeler M.R. (1949)
neocardini,South America,tavares,-48.32,27.39, Schmitz H.J. et al. (2007)
neocardini,North America,mexico,-100,20, Vargas L. (1954)
neocardini,North America,atlixco/pue,-98.26,18.55, Hsu T.C. (1949)
neocardini,Central America,panama city, -79.30,9.00 , Sakai S. (2002)
neocardini,South America,uaupes,-67.05,-0.07, da Cunha A.B. (1955)
neocardini,South America,icana,-67.22,-0.23, da Cunha A.B. (1955)
neocardini,South America,manaus,-60,-3.06, Pavan C. (1952)
neocardini,South America,tefe,-64.45,-3.24, Wheeler M.R. (1970)
neocardini,South America,loja,-79.16,-3.59, Acurio A. and Rafael V. (2009)
neocardini,South America,yangana,-79.3,-4, Rafael V. and Vela D. (2003)
neocardini,South America,leticia,-69.57,-4.09, Heed W.B. and Russell J.S. (1971)
neocardini,South America,ponta do caximbo,-53.15,-4.2, Napp M. and Cordeiro A.R. (1978)
neocardini,South America,cruzeiro do sul,-72.39,-7.4, da Cunha A.B. (1955)
neocardini,South America,brazil,-50,-10, Brisson J.A. et al. (2006)
neocardini,South America,palmares,-67.43,-10.22, da Cunha A.B. (1955)
neocardini,South America,piritiba/ba,-40.45,-11.47, Sene F.M. et al. (1980)
neocardini,South America,Barreiras,-45.15,-12.06,Sene et al.
neocardini,South America,salvador/brazil,-38.29,-12.58, da Cunha A.B. (1955)
neocardini,South America,umahuankilia,-72,-13, Bachli G. et al. (2000)
neocardini,South America,ilheus,-39.06,-14.5, da Cunha A.B. (1955)
neocardini,South America,cerrado,-47.59,-15.47, Cahaves N.B. and Tidon R. (2005)
neocardini,,RECOR,-47.52,-15.55,
neocardini,South America,recor reserve,-47.53,-15.56, Tidon R. (2006)
neocardini,South America,recor/df,-47.53,-15.56,
neocardini,South America,montes claros,-43.52,-16.45, da Cunha A.B. (1955)
neocardini,South America,serra do cipo/mg,-43.4,-19, Chaves N.B. and Tidon R. (2008)
neocardini,South America,serra do cipo,-43.35,-19.17, Vilela C.R. and Mori L. (1999)
neocardini,,Serra do Cipó,-43.33,-19.17,
neocardini,,Serra do Cipó,-43.38,-19.21,
neocardini,South America,rio doce,-40.3,-19.3, Dobzhansky D. and Brito da Cunha A. (1955)
neocardini,South America,teffe,-50,-20, Stalker H.D. (1953)
neocardini,South America,miranda/ms,-56.46,-20.05, Sene F.M. et al. (1980)
neocardini,South America,miranda/mg,-56.19,-20.1, Vilela C.R. et al. (2002)
neocardini,South America,sao paulo estado,-48,-22, Tidon-Sklorz R. and Sene F.M. (1999)
neocardini,South America,vila bela,-45,-22, da Cunha A.B. (1955)
neocardini,South America,barreiro rico,-48.05,-22.41, de Medeiros H.F. and Klaczko L.B. (2004)
neocardini,South America,bosque dos jequitibas,-47.03,-22.55, Montenegro H. et al. (2006)
neocardini,South America,angra dos reis,-44.17,-22.59, Heed W.B. and Russell J.S. (1971)
neocardini,South America,vila atlantica,-46.3,-23.3, da Cunha A.B. (1955)
neocardini,South America,mogi das cruzes,-46.1,-23.3, Heed W.B. and Russell J.S. (1971)
neocardini,South America,sao paulo,-46.39,-23.33, da Cunha A.B. (1955)
neocardini,South America,rio ligeiro/pa,-52.31,-23.37, Sene F.M. et al. (1980)
neocardini,South America,rio ivai/pa,-52.22,-23.4, Sene F.M. et al. (1980)
neocardini,South America,boraceia/sp,-43.5,-23.4, Val F.C. and Kaneshiro K.Y. (1988)
neocardini,South America,ilha bela,-45.24,-23.47, de Medeiros H.F. and Klaczko L.B. (2004)
neocardini,South America,sao sebastiao/sp,-45.26,-23.48, Pavan C. (1952)
neocardini,South America,guaratuba/sp,-45.53,-23.5, Sene F.M. et al. (1980)
neocardini,South America,itanhaem,-46.47,-24.09, da Cunha A.B. (1955)
neocardini,South America,rio negro/brazil,-49.46,-26.06, Vilela C.R. and da Cunha A.B. (2006)
neocardini,South America,joinville/sc,-48.51,-26.18, Cordeiro J. et al. (2008)
neocardini,South America,arvoredo,-52.41,-27.14, Cordeiro J. et al. (2008)
neocardini,South America,arvoredo island,-48.21,-27.17, De Toni D.C. et al. (2001)
neocardini,South America,lagoa da conceicao,-48.21,-27.18, de Toni D.C. and Hofmann P.R.P. (1995)
neocardini,South America,ratones,-48.3,-27.27, Schmitz H.J. et al. (2007)
neocardini,South America,ratones grande,-48.37,-27.29, de Toni D.C. et al. (2001)
neocardini,South America,ratones pequeno,-48.34,-27.29, de Toni D.C. et al. (2001)
neocardini,South America,ratones pequeno island,-48.34,-27.3, De Toni D.C. et al. (2001)
neocardini,South America,florianopolis/sc,-48.32,-27.35, Gottschalk M.S. et al. (2007)
neocardini,South America,florianopolis,-48.31,-27.35, Cordeiro J. et al. (2008)
neocardini,South America,morro da lagoa,-48.29,-27.35, de Toni D.C. et al. (2007)
neocardini,South America,campeche/sc,-48.29,-27.41, de Toni D.C. et al. (2007)
neocardini,South America,campeche island,-48.28,-27.41, De Toni D.C. et al. (2001)
