species,region,site,longitude,latitude,ref
neomorpha,neomorpha,North America,Mexico,     chapulhuacan/hid,-98
neomorpha,neomorpha,Central America,Honduras,     lancetilla,-88
neomorpha,neomorpha,Central America,Honduras,     honduras,-87
neomorpha,neomorpha,Central America,Panama,     goofy lake,-80
neomorpha,neomorpha,Caribbean Islands,West Indies. Antilles,     arima,-61
neomorpha,neomorpha,Caribbean Islands,West Indies. Antilles,     trinidad/west,-61
neomorpha,neomorpha,Central America,Panama,     fort sherman,-79
neomorpha,neomorpha,Central America,Panama,     almirante,-82
neomorpha,neomorpha,Central America,Panama,     frijoles,-79
neomorpha,neomorpha,Central America,Panama,     barro colorado,-79
neomorpha,neomorpha,Central America,Panama,     gamboa,-79
neomorpha,neomorpha,Central America,Panama,     panama,-79
neomorpha,neomorpha,Central America,Panama,     camaron,-79
neomorpha,neomorpha,Central America,Costa Rica,     costa rica,-85
neomorpha,neomorpha,Central America,Panama,     capira,-79
neomorpha,neomorpha,Central America,Panama,     el volcan/panama,-82
neomorpha,neomorpha,Central America,Panama,     el valle/panama,-80
neomorpha,neomorpha,Central America,Panama,     cerro campana,-81
neomorpha,neomorpha,Central America,Panama,     el real/panama,-77
neomorpha,neomorpha,South America,Colombia,     rio raposo,-75
neomorpha,neomorpha,South America,Brazil,     caxiuana,-51
neomorpha,neomorpha,South America,Brazil,     urucu,-35
neomorpha,neomorpha,North America,Mexico,     alta floresta,-56
neomorpha,neomorpha,South America,Brazil,     parana/to,-47
neomorpha,neomorpha,South America,Brazil,RECOR,-47
neomorpha,neomorpha,South America,Brazil,     joinville/sc,-48
neomorpha,,,,,
