species,region,site,longitude,latitude,ref
polymorpha,South America,,,, Heed W.B. (1963)
polymorpha,South America,,,, Heed W.B. and Russell J.S. (1971)
polymorpha,South America,,,, Valente V.L. and de Araujo A.M. (1991)
polymorpha,South America,,,, Vasquez E. J.A. (1976)
polymorpha,South America,tavares,-48.32,27.39, Schmitz H.J. et al. (2007)
polymorpha,North America,pichilingue,-110.17,24.2, Heed W.B. (1963)
polymorpha,Central America,quirigua, -90.00,15.00 , Stalker H.D. (1953)
polymorpha,Caribbean,grenada/west,-61.4,12.07, Heed W.B. (1962)
polymorpha,South America,chancay,-77.14,11.36, Vasquez E. J.A. (1976)
polymorpha,South America,santa marta/colombia,-74.1,11.18, Heed W.B. and Russell J.S. (1971)
polymorpha,Caribbean,arima,-61.17,10.58, Heed W.B. and Blake P.R. (1963)
polymorpha,Caribbean,maraval/trinidad,-61.31,10.42, Heed W.B. and Russell J.S. (1971)
polymorpha,Caribbean,trinidad/west,-61.3,10.3, Brisson J.A. et al. (2006)
polymorpha,Caribbean,tabaquite,-61.18,10.23, Heed W.B. (1963)
polymorpha,South America,duaca,-69.08,10.22, Yoon J.S. (1984)
polymorpha,South America,rancho grande,-67.3,10.2, Cova Garcia P. and Suarez O.M. (1962)
polymorpha,South America,venezuela,-65,10, Napp M. and Cordeiro A.R. (1981)
polymorpha,Central America,panama city, -79.30,9.00 , Stalker H.D. (1953)
polymorpha,South America,cucuta,-72.31,7.55, Heed W.B. and Russell J.S. (1971)
polymorpha,South America,sierra nevada/colombia,-74,5, Heed W.B. (1963)
polymorpha,South America,el colegio,-74.27,4.35, Heed W.B. (1963)
polymorpha,South America,fusagasuga,-74.21,4.22, Hunter A.S. and Navarro A. (1969)
polymorpha,South America,girardot,-74.47,4.19, Heed W.B. (1963)
polymorpha,South America,villavicencio,-73.38,4.09, Heed W.B. and Blake P.R. (1963)
polymorpha,South America,el recuerdo,-72.49,3.11, Futch D.G. (1962)
polymorpha,South America,san lorenzo/colombia,-76.2,3, Heed W.B. and Russell J.S. (1971)
polymorpha,South America,popayan,-76.32,2.27, Heed W.B. (1963)
polymorpha,South America,mucajai,-67,2, Pavan C. (1952)
polymorpha,South America,esmeraldas,-79.4,0.56, Acurio A. and Rafael V. (2009)
polymorpha,South America,ferreira comes,-51.08,0.52, Pavan C. (1952)
polymorpha,South America,guayllabamba,-78.22,0.03, Rafael V. and Arcos G. (1988)
polymorpha,South America,ilha marajo,-50,0, Pavan C. (1952)
polymorpha,South America,el quinche,-78.18,-0.07, Rafael V. et al. (2000)
polymorpha,South America,pichincha,-75.21,-0.45, Acurio A. and Rafael V. (2009)
polymorpha,South America,montecristi,-80.39,-1.05, Rafael V. (2007)
polymorpha,South America,belem,-48.29,-1.27, da Cunha A.B. (1949)
polymorpha,South America,belem,-48.29,-1.27, da Cunha A.B. (1951)
polymorpha,South America,manabi,-80.3,-1.3, Acurio A. and Rafael V. (2009)
polymorpha,South America,simon bolivar,-79.55,-2.13, Rafael V. et al. (2000)
polymorpha,South America,guayas,-80.17,-2.16, Acurio A. and Rafael V. (2009)
polymorpha,South America,fordlandia,-55.3,-3.4, Pavan C. (1952)
polymorpha,South America,iquitos,-73.13,-3.51, Suyo T. M.P. et al. (1983)
polymorpha,South America,ponta do caximbo,-53.15,-4.2, Napp M. and Cordeiro A.R. (1978)
polymorpha,South America,tabuleiro,-58.25,-5.03, Brisson J.A. et al. (2005)
polymorpha,South America,canto da lagoa,-36.5,-5.04, de Toni D.C. et al. (2001)
polymorpha,South America,imperatriz,-47.28,-5.32, Pavan C. (1952)
polymorpha,South America,chacara santa monica,-50.01,-8, Vilela C.R. (1999)
polymorpha,South America,urucu,-35,-8.17, Prudente A.L. da Costa et al. (2008)
polymorpha,South America,colcap,-78.04,-8.58, Pilares G. L.V. et al. (1981)
polymorpha,South America,peru,-75,-10, Pilares G.L. and Suyo M.P. (1982)
polymorpha,South America,brazil,-50,-10, Dobzhansky T. (1949)
polymorpha,South America,palmares,-67.43,-10.22, Pavan C. (1952)
polymorpha,South America,la merced/peru,-75.16,-11.03, Pilares G. L.V. and vasquez E. J.A. (1977)
polymorpha,South America,cafarnaum/ba,-41.2,-11.3, Sene F.M. et al. (1980)
polymorpha,South America,serrinha,-38.56,-11.38, Brisson J.A. et al. (2005)
polymorpha,South America,mira serra/ba,-40.53,-11.46, Sene F.M. et al. (1980)
polymorpha,South America,piritiba/ba,-40.45,-11.47, Sene F.M. et al. (1980)
polymorpha,,Barreiras,-45.15,-12.06,
polymorpha,South America,barreiras/ba,-45.05,-12.07, Chaves N.B. and Tidon R. (2008)
polymorpha,South America,ibotirama/ba,-43.07,-12.18, Sene F.M. et al. (1980)
polymorpha,South America,cachoeira/monteiros/ba,-51.38,-12.25, Sene F.M. et al. (1980)
polymorpha,South America,milagres/ba,-39.53,-12.51, Vilela C.R. et al. (2002)
polymorpha,South America,parana/to,-47.37,-12.52, da Mata R.A. et al. (2008)
polymorpha,South America,salvador/brazil,-38.29,-12.58, Malogolowkin C. (1951)
polymorpha,,Vale do Paranã,-46.46,-13.36,
polymorpha,,Vale do Paranã,-46.45,-13.39,
