species,region,site,longitude,latitude,ref
simulans,South America,,,, SMNS Collection (1988)
simulans,Australia,,,, Hoffmann A.A. et al. (1990)
simulans,Africa,,,, Capy P. et al. (1988)
simulans,Africa,,,, Capy P. et al. (1990)
simulans,Central America,,,, Sturtevant A.H. (1921)
simulans,Asia,,,, Coyne J.A. (1985)
simulans,Asia,mohe,122.19,53.26, Xu S.-H. et al. (2003)
simulans,Asia,heihe,127.25,50.16, Xu S.-H. et al. (2003)
simulans,Asia,hailaer,120,49, Xu S.-H. et al. (2003)
simulans,Asia,jiamusi,130.29,46.59, Xu S.-H. et al. (2003)
simulans,Asia,haerbin,126.5,45.47, Xu S.-H. et al. (2003)
simulans,Asia,charbin,126.41,45.45, SMNS Collection (1988)
simulans,Asia,wakkanai,141.43,45.26, Watabe H.-a. (1990)
simulans,Asia,oniwaki,141.1,45.1, Watabe H.-a. (1990)
simulans,Asia,changchun,126.45,43.54, Xu S.-H. et al. (2003)
simulans,Asia,tonebetsu,141.2,43.15, Sawashiro T. and Watabe H.-a. (1999)
simulans,Asia,sapporo,141.21,43.05, Kamimura Y. (2007)
simulans,Asia,hokkaido,141.2,43, Beppu K. et al. (1977)
simulans,Asia,kushiro,144.24,42.58, Watabe H.-a. (1990)
simulans,Asia,tumen,129.47,42.56, Xu S.-H. et al. (2003)
simulans,Asia,yanji,129.32,42.52, Xu S.-H. et al. (2003)
simulans,Asia,ashoro,143.1,42.02, Watabe H.-a. (1990)
simulans,Asia,huhehaote,117,42, Xu S.-H. et al. (2003)
simulans,Asia,shenyang,123.26,41.5, Xu S.-H. et al. (2003)
simulans,Asia,hakodate,140.44,41.46, Watabe H.-a. (1990)
simulans,Asia,inakadate,141,40.3, Itoh M. et al. (2003)
simulans,Asia,fukuoka,141.2,40.16, Inoue Y. (1988)
simulans,Asia,dandong,124.24,40.08, Xu S.-H. et al. (2003)
simulans,Asia,masaki,140,40, Ohnishi S. and Kawanishi M. (1981)
simulans,Asia,beijing,116.24,39.54, Xu S.-H. et al. (2003)
simulans,Asia,akita,140.05,39.44, Watada M. et al. (1986)
simulans,Asia,miyako,141.59,39.38, Watada M. and Itoh M. (1999)
simulans,Asia,ohazama,141.17,39.3, Itoh M. et al. (2003)
simulans,Asia,morioka,141.1,39.15, Toda M.J. (1984)
simulans,Asia,tianjing,117.12,39.08, Jin S. et al. (2005)
simulans,Asia,mugi,134.23,38.38, Watada M. et al. (1986)
simulans,Asia,yinchun,107.3,38.35, Xu S.-H. et al. (2003)
simulans,Asia,higashine,140.23,38.26, Itoh M. et al. (2003)
simulans,Asia,yamagata,140.19,38.16, Watada M. et al. (1986)
simulans,Asia,akayu,140.11,38.05, Watada M. et al. (1986)
simulans,Asia,shijiazhuang,114.28,38.04, Xu S.-H. et al. (2003)
simulans,Asia,niigata,139.02,37.58, Watada M. et al. (1986)
simulans,Asia,taiyuan,112.3,37.5, Xu S.-H. et al. (2003)
simulans,Asia,yantai,121.22,37.3, Xu S.-H. et al. (2003)
simulans,Asia,kwangnung,127,37.3, Kang Y.S. et al. (1959)
simulans,Asia,koriyama,140.22,37.23, Watada M. et al. (1986)
simulans,Africa,bizerte,9.52,37.18, Capy P. et al. (1993)
simulans,Asia,tajima,139.46,37.11, Ballard J.W.O. (2004)
simulans,Asia,naoetsu,138.15,37.1, Ohnishi S. and Kawanishi M. (1981)
simulans,Asia,sori,127,37, Lee T.J. (1966)
simulans,Asia,busan,128,37, Lee W.H. and Yoo M.A. (1981)
simulans,Asia,south korea,132,37, Lee T.J. (1964)
simulans,Asia,obuse,138,37, Itoh M. et al. (2003)
simulans,Africa,tabarka,8.45,36.55, Jungen H. (1971)
simulans,Africa,alger,3,36.5, Ashburner M. and Leumeunier F. (1976)
simulans,Africa,belvedere,10.13,36.5, Jungen H. (1971)
simulans,Africa,orangerie,10.1,36.48, Jungen H. (1971)
simulans,Africa,tizi-ouzou,4.05,36.44, Capy P. et al. (1993)
simulans,Asia,shiliguri,88.3,36.42, Das A. et al. (1995)
simulans,Asia,toyama,137.14,36.42, Watada M. et al. (1986)
simulans,Africa,djebel bou kournine,10.2,36.4, Jungen H. (1971)
simulans,Asia,shiga heights,138.3,36.4, Beppu K. (1996)
simulans,Asia,mount shirane,139,36.4, Beppu K. (1998)
simulans,Asia,nagano,138.1,36.39, Watanabe T.K. and Kawanishi M. (1978)
simulans,Asia,utsunomiya,139.52,36.33, Ohnishi S. and Kawanishi M. (1981)
simulans,Africa,blida,2.5,36.3, Bachli G. (1988)
simulans,Asia,suzaki,138,36.3, Watada M. et al. (1986)
simulans,Asia,kokufu,140,36.3, Watada M. et al. (1986)
simulans,Asia,ueda,138.13,36.27, Watada M. et al. (1986)
simulans,Asia,maebashi,139.04,36.24, Ohnishi S. and Kawanishi M. (1981)
simulans,Asia,tochigi,139.46,36.23, Inoue Y. (1988)
simulans,Asia,ohirashita,140,36.21, Watada M. et al. (1986)
simulans,Asia,xinin,101.53,36.2, Xu S.-H. et al. (2003)
simulans,Asia,tsuchiura,140.11,36.05, Watanabe T.K. and Kawanishi M. (1978)
simulans,Asia,fukui,136.12,36.04, Itoh M. et al. (2003)
simulans,Asia,lanzhou,103.45,36.01, Xu S.-H. et al. (2003)
simulans,Asia,kikonai,138,36, Watabe H.-a. (1990)
simulans,Asia,saitama,139,36, Inoue Y. et al. (1990)
simulans,Asia,japan,140,36, Montchamp-Moreau C. et al. (1991)
simulans,Asia,kawagoe,139.3,35.55, Watada M. et al. (1986)
simulans,Asia,omiya,139.39,35.54, Ohnishi S. and Kawanishi M. (1981)
simulans,Africa,tanger,-5.5,35.48, ZMZ Collection (1985)
simulans,Asia,sayama,139.24,35.47, Mitsui H. (1993)
simulans,Africa,monastir,10.59,35.46, Rouault J. and David J.R. (1982)
simulans,Asia,nirasaki,138.27,35.45, Watada M. et al. (1986)
simulans,Africa,kairouan,10.01,35.42, Bouletreau M. et al. (1991)
simulans,Asia,kofu,138.34,35.42, Carracedo M.C. et al. (1987)
simulans,Asia,teheran,51.26,35.4, Baba-Aissa F. et al. (1988)
simulans,Asia,katsunuma,138.37,35.4, Itoh M. et al. (2003)
simulans,Asia,yamanaka-ko,138.5,35.4, Watanabe T.K. and Kawanishi M. (1978)
simulans,Asia,kokubunji,139.3,35.4, Watada M. et al. (1986)
simulans,Asia,miyakejima,139.4,35.4, Watada M. et al. (1986)
simulans,Asia,akasaka,139.45,35.4, Asada N. et al. (1987)
simulans,Asia,chiba,140.07,35.39, Ballard J.W.O. (2004)
simulans,Asia,otsuki,138.53,35.38, Oguma Y. et al. (1995)
simulans,Asia,kajikazawa,138.28,35.35, Watada M. et al. (1986)
simulans,Asia,tottori,134.12,35.32, Itoh M. et al. (2003)
simulans,Asia,milyang,128.45,35.3, Lee W.H. (1980)
simulans,Asia,fujiyoshida,138.48,35.3, Watada M. et al. (1986)
simulans,Asia,susono,139,35.3, Watada M. et al. (1986)
simulans,Asia,minogamo,137.01,35.29, Itoh M. et al. (2003)
simulans,Asia,yokohama,139.38,35.28, Watanabe T.K. and Kawanishi M. (1978)
simulans,Asia,gifu,136.46,35.27, Watada M. et al. (1986)
simulans,Asia,taisha,132.4,35.26, Asada N. et al. (1987)
simulans,Asia,mobara,140.2,35.26, Watada M. et al. (1986)
simulans,Asia,minobu,138.2,35.2, Watada M. et al. (1986)
simulans,Asia,gotenba,138.58,35.2, Watada M. et al. (1986)
simulans,Asia,oiso,139.2,35.19, Liang B.-L. and Fuyama Y. (2000)
simulans,Asia,fujinomia,138.33,35.16, Ohnishi S. and Kawanishi M. (1981)
simulans,Asia,odawara,139.08,35.15, Watanabe T.K. and Kawanishi M. (1976)
simulans,Africa,larache,-6.1,35.12, Nigro L. (1988)
simulans,Asia,kimhae,128.57,35.1, Lee W.H. (1980)
simulans,Asia,kiyosumi,140.1,35.1, Toda M.J. (1984)
simulans,Asia,nagoya,136.53,35.08, Watada M. et al. (1986)
simulans,Asia,mishima,138.54,35.08, Itoh M. et al. (1999)
simulans,Asia,atami,139.04,35.07, Watanabe T.K. and Kawanishi M. (1976)
simulans,Africa,hassi babah,3.02,35.04, Bachli G. (1988)
simulans,Asia,kyoto,135.45,35.02, Itoh M. et al. (2003)
simulans,Africa,nasr'allah,10,35, Baba-Aissa F. and Solignac M. (1984)
simulans,Asia,minoo,132,35, Uenoyama T. and Inoue Y. (1995)
simulans,Asia,tozugawa,135,35, Itoh M. et al. (2003)
simulans,Asia,aito,136,35, Itoh M. et al. (2003)
simulans,Asia,kariya,137,35, Toda M.J. (1979)
simulans,Asia,atagawa,138,35, Watanabe T.K. and Kawanishi M. (1976)
simulans,Asia,shuzenji,138.55,35, Watanabe T.K. and Kawanishi M. (1976)
simulans,Asia,nirayama,139,35, Watanabe T.K. and Kawanishi M. (1976)
simulans,Asia,shizuoka,138.24,34.59, Inoue Y. (1988)
