species,region,site,longitude,latitude,ref
willistoni,South America,,,, Cordeiro A.R. et al. (1958)
willistoni,South America,,,, Dobzhansky T. et al. (1952)
willistoni,South America,,,, Malogolowkin C. et al. (1959)
willistoni,South America,,,, Spieth H.T. (1952)
willistoni,South America,,,, Tabachnik W.J. and Powell J.R. (1977)
willistoni,South America,,,, Tondo C.V. et al. (1959)
willistoni,South America,,,, Valente V.L. and de Araujo A.M. (1991)
willistoni,South America,,,, Zouros E. (1979)
willistoni,South America,,,, Acurio A.E. and Rafael V.L. (2009)
willistoni,South America,,,, Rafael V. and Vela D. (2000)
willistoni,South America,,,, de Toledo Cardoso de Mello J. (1971)
willistoni,South America,,,, Dobzhansky T. (1965)
willistoni,South America,,,, Perez-Salas S. (1970)
willistoni,South America,,,, Richmond R.C. and Dobzhansky T. (1976)
willistoni,South America,tavares,-48.32,27.39, Schmitz H.J. et al. (2007)
willistoni,South America,puerto lopez/colombia,-71.17,11.58, Ayala F.J. et al. (1971)
willistoni,South America,santa marta/colombia,-74.1,11.18, Ayala F.J. et al. (1972)
willistoni,South America,santa marta/colombia,-74.1,11.18, Corneo G. et al. (1980)
willistoni,South America,santa marta/colombia,-74.1,11.18, Ehrman L. and Petit C. (1968)
willistoni,South America,santa marta/colombia,-74.1,11.18, Griffith E.C. and Powell J.R. (1997)
willistoni,South America,santa marta/colombia,-74.1,11.18, Hoenigsberg H.F. (1995)
willistoni,South America,santa marta/colombia,-74.1,11.18, Hoenigsberg H.F. (1995)
willistoni,South America,santa marta/colombia,-74.1,11.18, Perez-Salas S. (1970)
willistoni,South America,santa marta/colombia,-74.1,11.18, Petit C. and Ehrman L. (1968)
willistoni,South America,santa marta/colombia,-74.1,11.18, Spassky B. et al. (1971)
willistoni,South America,piojo,-75,11, Ayala F.J. et al. (1972)
willistoni,South America,piojo,-75,11, Ehrman L. and Petit C. (1968)
willistoni,South America,piojo,-75,11, Petit C. and Ehrman L. (1968)
willistoni,South America,piojo,-75,11, Spassky B. et al. (1971)
willistoni,South America,rio catatumbo,-72,11, Ayala F.J. et al. (1974)
willistoni,South America,caracas,-66.56,10.35, Ayala F.J. et al. (1972)
willistoni,South America,rancho grande,-67.3,10.2, Ayala F.J. et al. (1972)
willistoni,South America,rancho grande,-67.3,10.2, Perez-Salas S. (1970)
willistoni,South America,rancho grande,-67.3,10.2, Spassky B. et al. (1971)
willistoni,South America,cumanacoa,-63.58,10.17, Ayala F.J. (1970)
willistoni,South America,cumanacoa,-63.58,10.17, Perez-Salas S. (1970)
willistoni,South America,caripe,-63.3,10.13, Ayala F.J. et al. (1972)
willistoni,South America,caripe,-63.3,10.13, da Cunha A.B. et al. (1959)
willistoni,South America,caripe,-63.3,10.13, Malogolowkin-Cohen C. et al. (1964)
willistoni,South America,caripe,-63.3,10.13, Perez-Salas S. (1970)
willistoni,South America,caripe,-63.3,10.13, Spassky B. et al. (1971)
willistoni,South America,caripito,-63.07,10.07, Ayala F.J. et al. (1974)
willistoni,South America,guri,-69.17,10.05, Ayala F.J. et al. (1974)
